stage,seed,method,pilot_ratio,snr_db,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs_used,train_samples,val_samples,test_samples,runtime_seconds,loss_mode,lambda_adv,lambda_pilot,lambda_smooth,lambda_sparse
stage3a_supervised_physics,123,LS,0.5000,30,0.50091757,0.25045879,0.29172790,0.00000000,0.68962885,0,1024,256,512,0.0259,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,DnCNN,0.5000,30,0.46156060,0.23078030,0.28972091,0.00209154,0.70086751,5,1024,256,512,0.3071,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,Enhanced-DnCNN,0.5000,30,0.45652188,0.22826094,0.28637301,0.00179069,0.70712244,5,1024,256,512,0.8693,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec,0.5000,30,0.43053066,0.21526533,0.26969137,0.00100438,0.75741847,5,1024,256,512,1.1648,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec-physics,0.5000,30,0.43510838,0.21755419,0.26820567,0.00078343,0.76732975,5,1024,256,512,1.2671,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,123,PICASSO-full-light-adv,0.5000,30,0.43415441,0.21707720,0.27115461,0.00092792,0.75114473,5,1024,256,512,1.7871,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,123,LS,0.2500,10,0.77509399,0.38754699,0.46869010,0.00000000,0.46996859,0,1024,256,512,0.0296,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,DnCNN,0.2500,10,0.75711161,0.37855580,0.46310734,0.00043069,0.48917132,5,1024,256,512,0.3507,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,Enhanced-DnCNN,0.2500,10,0.74931789,0.37465895,0.46009358,0.00506435,0.51734100,5,1024,256,512,0.8909,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec,0.2500,10,0.73207720,0.36603860,0.45325726,0.00479162,0.60188708,5,1024,256,512,1.2049,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec-physics,0.2500,10,0.73350707,0.36675354,0.45366130,0.00488051,0.59948515,5,1024,256,512,1.2205,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,123,PICASSO-full-light-adv,0.2500,10,0.73368717,0.36684358,0.45379881,0.00479581,0.59658813,5,1024,256,512,1.7905,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,123,LS,0.2500,20,0.75251822,0.37625911,0.43811853,0.00000000,0.50000527,0,1024,256,512,0.0309,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,DnCNN,0.2500,20,0.73617388,0.36808694,0.43414866,0.00062894,0.51830884,5,1024,256,512,0.3074,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,Enhanced-DnCNN,0.2500,20,0.72495461,0.36247731,0.43185033,0.00191773,0.54475556,5,1024,256,512,0.8692,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec,0.2500,20,0.70978995,0.35489498,0.42446464,0.00059519,0.62324794,5,1024,256,512,1.1690,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec-physics,0.2500,20,0.71401624,0.35700812,0.42659922,0.00088588,0.59242056,5,1024,256,512,1.1678,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,123,PICASSO-full-light-adv,0.2500,20,0.70925241,0.35462620,0.42377726,0.00057794,0.63815141,5,1024,256,512,1.8779,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,123,LS,0.2500,30,0.75026067,0.37513033,0.42845095,0.00000000,0.50334832,0,1024,256,512,0.0320,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,DnCNN,0.2500,30,0.72724501,0.36362251,0.42381243,0.00065000,0.53484509,5,1024,256,512,0.5133,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,Enhanced-DnCNN,0.2500,30,0.71851943,0.35925972,0.42580036,0.00344899,0.56495225,5,1024,256,512,0.8681,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec,0.2500,30,0.70569863,0.35284932,0.41448885,0.00030769,0.63748606,5,1024,256,512,1.1470,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec-physics,0.2500,30,0.70775751,0.35387876,0.41539115,0.00036579,0.63201120,5,1024,256,512,1.1421,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,123,PICASSO-full-light-adv,0.2500,30,0.70833170,0.35416585,0.41570963,0.00037795,0.62821344,5,1024,256,512,1.7134,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,123,LS,0.1250,10,0.88721453,0.44360727,0.51696380,0.00000000,0.32803465,0,1024,256,512,0.0279,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,DnCNN,0.1250,10,0.88227855,0.44113927,0.51531558,0.00057890,0.34301177,5,1024,256,512,0.3168,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,Enhanced-DnCNN,0.1250,10,0.87694211,0.43847106,0.51337107,0.00618108,0.38584360,5,1024,256,512,0.8894,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec,0.1250,10,0.86664188,0.43332094,0.50980492,0.00513209,0.48002799,5,1024,256,512,1.1219,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec-physics,0.1250,10,0.86688927,0.43344463,0.50983341,0.00479312,0.48160685,5,1024,256,512,1.1925,rec_physics,0.0,1.0,0.05,0.05
