stage,seed,method,pilot_ratio,snr_db,epoch,train_loss,val_nmse,learning_rate
stage3a_larger_training,42,PICASSO-cond-full,0.1250,20,10,0.51043553,0.85623096,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,10,1,0.47362793,0.94572394,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,10,2,0.47225606,0.94389980,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,10,3,0.47186304,0.94361016,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,10,4,0.47169333,0.94325015,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,10,5,0.47147430,0.94273773,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,10,6,0.47114632,0.94193310,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,10,7,0.47066309,0.94080909,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,10,8,0.47000665,0.93940113,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,10,9,0.46929366,0.93809825,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,10,10,0.46876713,0.93715794,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,10,1,0.47247610,0.94402313,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,10,2,0.47194335,0.94392183,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,10,3,0.47190316,0.94387789,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,10,4,0.47186943,0.94376263,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,10,5,0.47174833,0.94329073,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,10,6,0.47127754,0.94182552,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,10,7,0.47033495,0.94005336,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,10,8,0.46971994,0.93922210,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,10,9,0.46934237,0.93857454,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,10,10,0.46899901,0.93803653,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,10,1,0.54195718,0.94144051,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,10,2,0.53975845,0.93790512,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,10,3,0.53880788,0.93617707,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,10,4,0.53834402,0.93559365,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,10,5,0.53814755,0.93531479,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,10,6,0.53803115,0.93511327,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,10,7,0.53794396,0.93509072,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,10,8,0.53790886,0.93498573,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,10,9,0.53784989,0.93491061,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,10,10,0.53785010,0.93477191,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,10,1,0.54607293,0.94157194,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,10,2,0.54398692,0.93850258,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,10,3,0.54307075,0.93674721,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,10,4,0.54253208,0.93609391,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,10,5,0.54232385,0.93582892,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,10,6,0.54222140,0.93572883,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,10,7,0.54209058,0.93544543,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,10,8,0.54205529,0.93574169,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,10,9,0.54198878,0.93529791,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,10,10,0.54191726,0.93525095,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,10,1,0.54618937,0.94194220,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,10,2,0.54411688,0.93874827,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,10,3,0.54379449,0.93678167,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,10,4,0.54317756,0.93599251,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,10,5,0.54319378,0.93563454,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,10,6,0.54450409,0.93576352,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,10,7,0.54707033,0.93565406,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,10,8,0.54863333,0.93559054,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,10,9,0.54920867,0.93559964,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,10,10,0.54943484,0.93554747,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,10,1,0.54590567,0.94231059,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,10,2,0.54404094,0.93931110,0.00010000
