ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
gan,pilot=0.1250; snr=10,light adversarial loss (Stage 2BC),0.1250,10,0,synthetic,comb,0.87975951,0.43987975,0.51433337,,0.3299,stage2bc,reused
gan,pilot=0.1250; snr=10,output-level GAN (Stage 2BC),0.1250,10,0,synthetic,comb,0.87910414,0.43955207,0.51405454,,0.4783,stage2bc,reused
gan,pilot=0.1250; snr=20,no GAN (Stage 2BC),0.1250,20,0,synthetic,comb,0.87456621,0.43728311,0.50221226,,0.2150,stage2bc,reused
gan,pilot=0.1250; snr=20,light adversarial loss (Stage 2BC),0.1250,20,0,synthetic,comb,0.87489146,0.43744573,0.50220910,,0.3332,stage2bc,reused
gan,pilot=0.1250; snr=20,output-level GAN (Stage 2BC),0.1250,20,0,synthetic,comb,0.86592296,0.43296148,0.49913019,,0.4816,stage2bc,reused
gan,pilot=0.0625; snr=10,no GAN (Stage 2BC),0.0625,10,0,synthetic,comb,0.94201377,0.47100689,0.54057059,,0.2143,stage2bc,reused
gan,pilot=0.0625; snr=10,light adversarial loss (Stage 2BC),0.0625,10,0,synthetic,comb,0.94341864,0.47170932,0.54090172,,0.3324,stage2bc,reused
gan,pilot=0.0625; snr=10,output-level GAN (Stage 2BC),0.0625,10,0,synthetic,comb,0.94325303,0.47162651,0.54076877,,0.4790,stage2bc,reused
gan,pilot=0.0625; snr=20,no GAN (Stage 2BC),0.0625,20,0,synthetic,comb,0.93945402,0.46972701,0.53466018,,0.2152,stage2bc,reused
gan,pilot=0.0625; snr=20,light adversarial loss (Stage 2BC),0.0625,20,0,synthetic,comb,0.93797822,0.46898911,0.53418253,,0.3324,stage2bc,reused
gan,pilot=0.0625; snr=20,output-level GAN (Stage 2BC),0.0625,20,0,synthetic,comb,0.93812631,0.46906316,0.53381176,,0.4734,stage2bc,reused
gan,pilot=0.2500; snr=10,no GAN (Stage 2BC),0.2500,10,0,synthetic,comb,0.76388255,0.38194127,0.46509448,,0.2149,stage2bc,reused
gan,pilot=0.2500; snr=10,light adversarial loss (Stage 2BC),0.2500,10,0,synthetic,comb,0.75615612,0.37807806,0.46246832,,0.3289,stage2bc,reused
gan,pilot=0.2500; snr=10,output-level GAN (Stage 2BC),0.2500,10,0,synthetic,comb,0.75823915,0.37911958,0.46293629,,0.4749,stage2bc,reused
gan,pilot=0.2500; snr=20,no GAN (Stage 2BC),0.2500,20,0,synthetic,comb,0.73768012,0.36884006,0.43512716,,0.2155,stage2bc,reused
gan,pilot=0.2500; snr=20,light adversarial loss (Stage 2BC),0.2500,20,0,synthetic,comb,0.74588153,0.37294076,0.43850051,,0.3271,stage2bc,reused
gan,pilot=0.2500; snr=20,output-level GAN (Stage 2BC),0.2500,20,0,synthetic,comb,0.74194093,0.37097047,0.43686260,,0.4839,stage2bc,reused
gan,pilot=0.1250; snr=10,no GAN (Stage 2BC),0.1250,10,0,synthetic,comb,0.88369009,0.44184504,0.51604509,,0.2174,stage2bc,reused
gan,pilot=0.1250; snr=10,light adversarial loss (Stage 2BC),0.1250,10,0,synthetic,comb,0.87863335,0.43931668,0.51420760,,0.3292,stage2bc,reused
gan,pilot=0.1250; snr=10,output-level GAN (Stage 2BC),0.1250,10,0,synthetic,comb,0.88014314,0.44007157,0.51467304,,0.4855,stage2bc,reused
gan,pilot=0.1250; snr=20,no GAN (Stage 2BC),0.1250,20,0,synthetic,comb,0.86813045,0.43406522,0.50028996,,0.2153,stage2bc,reused
gan,pilot=0.1250; snr=20,light adversarial loss (Stage 2BC),0.1250,20,0,synthetic,comb,0.87538499,0.43769249,0.50269946,,0.3303,stage2bc,reused
gan,pilot=0.1250; snr=20,output-level GAN (Stage 2BC),0.1250,20,0,synthetic,comb,0.87271017,0.43635508,0.50164683,,0.4771,stage2bc,reused
gan,pilot=0.0625; snr=10,no GAN (Stage 2BC),0.0625,10,0,synthetic,comb,0.94350922,0.47175461,0.54124312,,0.2145,stage2bc,reused
gan,pilot=0.0625; snr=10,light adversarial loss (Stage 2BC),0.0625,10,0,synthetic,comb,0.94546461,0.47273231,0.54197834,,0.3307,stage2bc,reused
gan,pilot=0.0625; snr=10,output-level GAN (Stage 2BC),0.0625,10,0,synthetic,comb,0.94084689,0.47042345,0.54040444,,0.4800,stage2bc,reused
gan,pilot=0.0625; snr=20,no GAN (Stage 2BC),0.0625,20,0,synthetic,comb,0.93486609,0.46743304,0.53309442,,0.2142,stage2bc,reused
gan,pilot=0.0625; snr=20,light adversarial loss (Stage 2BC),0.0625,20,0,synthetic,comb,0.93956016,0.46978008,0.53489670,,0.3343,stage2bc,reused
gan,pilot=0.0625; snr=20,output-level GAN (Stage 2BC),0.0625,20,0,synthetic,comb,0.93831645,0.46915822,0.53412253,,0.4790,stage2bc,reused
