stage,seed,method,pilot_ratio,snr_db,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs_used,loss_mode,use_attention,use_condition,feature_discriminator,runtime_seconds
stage3b_incremental,42,PICASSO-full-feature,0.0625,30,0.93570891,0.46785446,0.53068185,0.00022583,0.24513887,3,full,True,False,True,0.8555
stage3b_incremental,42,PICASSO-cond-full-feature,0.0625,30,0.93774021,0.46887010,0.53134573,0.00031827,0.22633490,3,full,True,True,True,0.8907
stage3b_incremental,123,LS,0.5000,10,0.54970039,0.27485020,0.37210619,0.00000000,0.62956576,0,,False,False,False,0.0134
stage3b_incremental,123,DnCNN,0.5000,10,0.54597007,0.27298503,0.37094861,0.00009908,0.62940164,3,,False,False,False,0.1333
stage3b_incremental,123,Enhanced-DnCNN,0.5000,10,0.54805966,0.27402983,0.37158326,0.00001421,0.62951834,3,,False,False,False,0.2352
stage3b_incremental,123,PICASSO-rec-base,0.5000,10,0.50610133,0.25305067,0.35796625,0.00836488,0.64194949,3,rec_only,False,False,False,0.4461
stage3b_incremental,123,PICASSO-rec-enhanced,0.5000,10,0.51738013,0.25869007,0.36184931,0.00648945,0.63266733,3,rec_only,False,False,False,0.6240
stage3b_incremental,123,PICASSO-rec-attn,0.5000,10,0.50498741,0.25249371,0.35661677,0.00614775,0.64242738,3,rec_only,True,False,False,0.6334
stage3b_incremental,123,PICASSO-rec-physics-enhanced,0.5000,10,0.50242348,0.25121174,0.35475367,0.00466902,0.65077624,3,rec_physics,True,False,False,0.6332
stage3b_incremental,123,PICASSO-full-feature,0.5000,10,0.52412604,0.26206302,0.36252114,0.00392279,0.63256069,3,full,True,False,True,0.8628
stage3b_incremental,123,PICASSO-cond-full-feature,0.5000,10,0.53339049,0.26669525,0.36619348,0.00248043,0.62942219,3,full,True,True,True,0.8889
stage3b_incremental,123,LS,0.5000,20,0.50449301,0.25224651,0.31090813,0.00000000,0.67862205,0,,False,False,False,0.0102
stage3b_incremental,123,DnCNN,0.5000,20,0.50286399,0.25143199,0.31068450,0.00009989,0.67827703,3,,False,False,False,0.0870
stage3b_incremental,123,Enhanced-DnCNN,0.5000,20,0.50182642,0.25091321,0.31016659,0.00001302,0.67864780,3,,False,False,False,0.2350
stage3b_incremental,123,PICASSO-rec-base,0.5000,20,0.47106065,0.23553032,0.30500276,0.00203520,0.68450798,3,rec_only,False,False,False,0.4538
stage3b_incremental,123,PICASSO-rec-enhanced,0.5000,20,0.46476965,0.23238482,0.30337122,0.00232707,0.68780209,3,rec_only,False,False,False,0.6354
stage3b_incremental,123,PICASSO-rec-attn,0.5000,20,0.46075021,0.23037511,0.29920119,0.00093527,0.69188684,3,rec_only,True,False,False,0.6522
stage3b_incremental,123,PICASSO-rec-physics-enhanced,0.5000,20,0.46232864,0.23116432,0.29979287,0.00119605,0.69347736,3,rec_physics,True,False,False,0.6320
stage3b_incremental,123,PICASSO-full-feature,0.5000,20,0.47535931,0.23767965,0.30416606,0.00115270,0.68530685,3,full,True,False,True,0.8517
stage3b_incremental,123,PICASSO-cond-full-feature,0.5000,20,0.48702645,0.24351322,0.30739580,0.00087185,0.67981611,3,full,True,True,True,0.8820
stage3b_incremental,123,LS,0.5000,30,0.49997228,0.24998614,0.29155562,0.00000000,0.68422168,0,,False,False,False,0.0101
stage3b_incremental,123,DnCNN,0.5000,30,0.49630367,0.24815184,0.29085382,0.00004141,0.68424341,3,,False,False,False,0.0977
stage3b_incremental,123,Enhanced-DnCNN,0.5000,30,0.49916956,0.24958478,0.29160150,0.00003398,0.68413302,3,,False,False,False,0.2412
stage3b_incremental,123,PICASSO-rec-base,0.5000,30,0.47414044,0.23707022,0.29550235,0.00237238,0.68527727,3,rec_only,False,False,False,0.4471
stage3b_incremental,123,PICASSO-rec-enhanced,0.5000,30,0.46676121,0.23338060,0.29006872,0.00153615,0.68917687,3,rec_only,False,False,False,0.6249
stage3b_incremental,123,PICASSO-rec-attn,0.5000,30,0.48455890,0.24227945,0.29166180,0.00068032,0.68413988,3,rec_only,True,False,False,0.6274
stage3b_incremental,123,PICASSO-rec-physics-enhanced,0.5000,30,0.47119759,0.23559880,0.28656390,0.00052798,0.68900195,3,rec_physics,True,False,False,0.6316
stage3b_incremental,123,PICASSO-full-feature,0.5000,30,0.47958385,0.23979193,0.28960551,0.00060388,0.68636578,3,full,True,False,True,0.8632
stage3b_incremental,123,PICASSO-cond-full-feature,0.5000,30,0.48573683,0.24286842,0.29036351,0.00043099,0.68443985,3,full,True,True,True,0.8815
stage3b_incremental,123,LS,0.2500,10,0.77496670,0.38748335,0.46879683,0.00000000,0.46708929,0,,False,False,False,0.0133
stage3b_incremental,123,DnCNN,0.2500,10,0.77604240,0.38802120,0.46936235,0.00089645,0.46745320,3,,False,False,False,0.1029
stage3b_incremental,123,Enhanced-DnCNN,0.2500,10,0.77462903,0.38731451,0.46869324,0.00001127,0.46751434,3,,False,False,False,0.2328
stage3b_incremental,123,PICASSO-rec-base,0.2500,10,0.75704667,0.37852333,0.46283150,0.00516306,0.48757822,3,rec_only,False,False,False,0.4435
stage3b_incremental,123,PICASSO-rec-enhanced,0.2500,10,0.73829548,0.36914774,0.45657746,0.00679941,0.54806009,3,rec_only,False,False,False,0.6245
stage3b_incremental,123,PICASSO-rec-attn,0.2500,10,0.74527071,0.37263536,0.45887235,0.00735200,0.51506302,3,rec_only,True,False,False,0.6398
stage3b_incremental,123,PICASSO-rec-physics-enhanced,0.2500,10,0.75966284,0.37983142,0.46323656,0.00300749,0.48349363,3,rec_physics,True,False,False,0.6333
stage3b_incremental,123,PICASSO-full-feature,0.2500,10,0.74785009,0.37392505,0.45954069,0.00414051,0.50996871,3,full,True,False,True,0.8568
stage3b_incremental,123,PICASSO-cond-full-feature,0.2500,10,0.75645737,0.37822869,0.46219537,0.00277685,0.49007682,3,full,True,True,True,0.8827
stage3b_incremental,123,LS,0.2500,20,0.75229292,0.37614646,0.43813334,0.00000000,0.49645359,0,,False,False,False,0.0105
stage3b_incremental,123,DnCNN,0.2500,20,0.75194055,0.37597027,0.43839151,0.00029214,0.49724282,3,,False,False,False,0.0864
stage3b_incremental,123,Enhanced-DnCNN,0.2500,20,0.75158805,0.37579402,0.43796068,0.00001426,0.49711742,3,,False,False,False,0.2331
stage3b_incremental,123,PICASSO-rec-base,0.2500,20,0.71907313,0.35953657,0.42885858,0.00082573,0.55783354,3,rec_only,False,False,False,0.4408
stage3b_incremental,123,PICASSO-rec-enhanced,0.2500,20,0.73118638,0.36559319,0.43306497,0.00112112,0.52607980,3,rec_only,False,False,False,0.6218
stage3b_incremental,123,PICASSO-rec-attn,0.2500,20,0.72533599,0.36266799,0.43058907,0.00044791,0.53490873,3,rec_only,True,False,False,0.6263
stage3b_incremental,123,PICASSO-rec-physics-enhanced,0.2500,20,0.74013351,0.37006675,0.43504672,0.00052562,0.51039088,3,rec_physics,True,False,False,0.6341
stage3b_incremental,123,PICASSO-full-feature,0.2500,20,0.72872290,0.36436145,0.43152452,0.00042933,0.53007168,3,full,True,False,True,0.8609
stage3b_incremental,123,PICASSO-cond-full-feature,0.2500,20,0.74804470,0.37402235,0.43771149,0.00076164,0.50247446,3,full,True,True,True,0.8747
stage3b_incremental,123,LS,0.2500,30,0.75002556,0.37501278,0.42843670,0.00000000,0.49980889,0,,False,False,False,0.0096
stage3b_incremental,123,DnCNN,0.2500,30,0.74749327,0.37374663,0.42792075,0.00005315,0.50211697,3,,False,False,False,0.0828
stage3b_incremental,123,Enhanced-DnCNN,0.2500,30,0.74921359,0.37460680,0.42827175,0.00001448,0.50049350,3,,False,False,False,0.2331
stage3b_incremental,123,PICASSO-rec-base,0.2500,30,0.73543195,0.36771598,0.42742714,0.00108405,0.51741464,3,rec_only,False,False,False,0.4457
stage3b_incremental,123,PICASSO-rec-enhanced,0.2500,30,0.73261401,0.36630701,0.42693964,0.00128473,0.52111833,3,rec_only,False,False,False,0.6247
stage3b_incremental,123,PICASSO-rec-attn,0.2500,30,0.73433174,0.36716587,0.42495735,0.00029275,0.51784812,3,rec_only,True,False,False,0.6334
stage3b_incremental,123,PICASSO-rec-physics-enhanced,0.2500,30,0.73743919,0.36871959,0.42600361,0.00032323,0.51368466,3,rec_physics,True,False,False,0.6311
stage3b_incremental,123,PICASSO-full-feature,0.2500,30,0.74187441,0.37093721,0.42737606,0.00035622,0.50875539,3,full,True,False,True,0.8598
stage3b_incremental,123,PICASSO-cond-full-feature,0.2500,30,0.74355103,0.37177552,0.42780849,0.00034954,0.50723124,3,full,True,True,True,0.8820
stage3b_incremental,123,LS,0.1250,10,0.88731486,0.44365743,0.51722845,0.00000000,0.32558686,0,,False,False,False,0.0097
stage3b_incremental,123,DnCNN,0.1250,10,0.88672514,0.44336257,0.51706590,0.00009888,0.32860743,3,,False,False,False,0.0861
stage3b_incremental,123,Enhanced-DnCNN,0.1250,10,0.88748334,0.44374167,0.51728246,0.00014766,0.32721001,3,,False,False,False,0.2383
stage3b_incremental,123,PICASSO-rec-base,0.1250,10,0.87957130,0.43978565,0.51457861,0.00414492,0.35923052,3,rec_only,False,False,False,0.4423
stage3b_incremental,123,PICASSO-rec-enhanced,0.1250,10,0.87228300,0.43614150,0.51233672,0.00763653,0.40874185,3,rec_only,False,False,False,0.6200
stage3b_incremental,123,PICASSO-rec-attn,0.1250,10,0.87365089,0.43682545,0.51265296,0.00672015,0.38634052,3,rec_only,True,False,False,0.6256
stage3b_incremental,123,PICASSO-rec-physics-enhanced,0.1250,10,0.87432037,0.43716019,0.51281720,0.00352994,0.38529205,3,rec_physics,True,False,False,0.6335
stage3b_incremental,123,PICASSO-full-feature,0.1250,10,0.87628643,0.43814322,0.51340847,0.00370579,0.37077396,3,full,True,False,True,0.8528
stage3b_incremental,123,PICASSO-cond-full-feature,0.1250,10,0.88273588,0.44136794,0.51541224,0.00194186,0.34249819,3,full,True,True,True,0.8738
stage3b_incremental,123,LS,0.1250,20,0.87582076,0.43791038,0.50178413,0.00000000,0.34063166,0,,False,False,False,0.0126
stage3b_incremental,123,DnCNN,0.1250,20,0.87492682,0.43746341,0.50155038,0.00002876,0.34357171,3,,False,False,False,0.0763
stage3b_incremental,123,Enhanced-DnCNN,0.1250,20,0.87574637,0.43787318,0.50179225,0.00005309,0.34148613,3,,False,False,False,0.2326
stage3b_incremental,123,PICASSO-rec-base,0.1250,20,0.86917606,0.43458803,0.50051174,0.00116804,0.37020330,3,rec_only,False,False,False,0.4433
stage3b_incremental,123,PICASSO-rec-enhanced,0.1250,20,0.86968426,0.43484213,0.50081682,0.00140679,0.37061984,3,rec_only,False,False,False,0.6310
stage3b_incremental,123,PICASSO-rec-attn,0.1250,20,0.86206155,0.43103077,0.49789429,0.00033637,0.40013109,3,rec_only,True,False,False,0.6356
stage3b_incremental,123,PICASSO-rec-physics-enhanced,0.1250,20,0.86278535,0.43139268,0.49808743,0.00036658,0.40094987,3,rec_physics,True,False,False,0.6322
stage3b_incremental,123,PICASSO-full-feature,0.1250,20,0.86740668,0.43370334,0.49958082,0.00051141,0.37092412,3,full,True,False,True,0.8582
stage3b_incremental,123,PICASSO-cond-full-feature,0.1250,20,0.87229364,0.43614682,0.50090609,0.00034235,0.35556263,3,full,True,True,True,0.8861
stage3b_incremental,123,LS,0.1250,30,0.87467138,0.43733569,0.49690021,0.00000000,0.34253203,0,,False,False,False,0.0087
