ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,0,120,CDL-A,irregular,0.82228184,0.41114092,0.51653279,0.29955155,0.4511,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,10,0,CDL-A,irregular,0.55060969,0.27530485,0.37913177,0.55060969,0.0146,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,10,0,CDL-A,irregular,1.20980924,0.60490462,0.52374753,1.20980924,1.6003,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,10,0,CDL-A,irregular,0.54979128,0.27489564,0.37883490,0.54979128,0.2581,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,10,0,CDL-A,irregular,0.52952524,0.26476262,0.37246622,0.52952524,0.4631,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,10,0,CDL-A,irregular,0.52875352,0.26437676,0.37149705,0.52875352,0.4509,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,10,60,CDL-A,irregular,0.55039735,0.27519868,0.37910690,0.55039735,0.0143,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,10,60,CDL-A,irregular,1.20963812,0.60481906,0.52374578,1.20963812,1.6655,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,10,60,CDL-A,irregular,0.54999535,0.27499767,0.37898125,0.54999535,0.2509,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,10,60,CDL-A,irregular,0.51622282,0.25811141,0.36883951,0.51622282,0.4471,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,10,60,CDL-A,irregular,0.53618838,0.26809419,0.37365092,0.53618838,0.4587,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,10,120,CDL-A,irregular,0.55017789,0.27508894,0.37909753,0.20042943,0.0134,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,10,120,CDL-A,irregular,1.21021253,0.60510626,0.52377059,0.44085207,1.6700,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,10,120,CDL-A,irregular,0.55010012,0.27505006,0.37910954,0.20040120,0.2459,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,10,120,CDL-A,irregular,0.51106948,0.25553474,0.36687084,0.18617267,0.4510,stage4,reused
channel,pilot=0.5000; snr=10; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,10,120,CDL-A,irregular,0.53469090,0.26734545,0.37330335,0.19478474,0.4501,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,30,0,CDL-A,irregular,0.50122611,0.25061306,0.29914901,0.50122611,0.0136,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,30,0,CDL-A,irregular,1.12508267,0.56254134,0.43761828,1.12508267,1.6157,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,30,0,CDL-A,irregular,0.50090504,0.25045252,0.29931755,0.50090504,0.2506,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,30,0,CDL-A,irregular,0.49149673,0.24574836,0.31024458,0.49149673,0.4533,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,30,0,CDL-A,irregular,0.49241470,0.24620735,0.30868904,0.49241470,0.4562,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,30,60,CDL-A,irregular,0.50098825,0.25049413,0.29910409,0.50098825,0.0148,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,30,60,CDL-A,irregular,1.12504214,0.56252107,0.43757979,1.12504214,1.5918,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,30,60,CDL-A,irregular,0.49982326,0.24991163,0.29892983,0.49982326,0.2356,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,30,60,CDL-A,irregular,0.48687495,0.24343748,0.30888107,0.48687495,0.4557,stage4,reused
